
|ID|SPECIES|LEK|SEX|AGE|STATE|WEIGHT|HABITAT|DPS|DATE|YEAR|
|F274|Tympanuchus pallidicinctus|B3|Female|Juvenile|Texas|695|SSOPR|Southern|4/5/08|2008|
|F275|Tympanuchus pallidicinctus|R2|Male|Adult|Texas|785|SSOPR|Southern|3/17/08|2008|
|F278|Tympanuchus pallidicinctus|TNC1|Male|Juvenile|Texas|694|SSOPR|Southern|||
|F281|Tympanuchus pallidicinctus|B4|Male|Juvenile|Texas|731|SSOPR|Southern|4/23/08|2008|
|F282|Tympanuchus pallidicinctus|B2|Male|Juvenile|Texas|815|SSOPR|Southern|3/1/08|2008|
|F284|Tympanuchus pallidicinctus|8|Male|Adult|Texas|760|SSOPR|Southern|||
|F285|Tympanuchus pallidicinctus|R5|Male|Juvenile|Texas|790|SSOPR|Southern|||
|F286|Tympanuchus pallidicinctus|H4|Male|Adult|Texas|744|SSOPR|Southern|||
|F291|Tympanuchus pallidicinctus|7|Male|Adult|Texas|675|SSOPR|Southern|||
|F292|Tympanuchus pallidicinctus|R5|Male|Juvenile|Texas|800|SSOPR|Southern|||
|F295|Tympanuchus pallidicinctus|B4|Male|Juvenile|Texas|776|SSOPR|Southern|4/25/08|2008|
|F296|Tympanuchus pallidicinctus|R4|Male|Adult|Texas|810|SSOPR|Southern|3/19/08|2008|
|F298|Tympanuchus pallidicinctus|8|Male|Juvenile|Texas|754|SSOPR|Southern|||
|F299|Tympanuchus pallidicinctus|R2|Male|Juvenile|Texas|821|SSOPR|Southern|||
|F2|Tympanuchus pallidicinctus|B2|Male|Adult|Texas||SSOPR|Southern|3/30/19|2019|
|F300|Tympanuchus pallidicinctus|R4|Male|Juvenile|Texas|791|SSOPR|Southern|||
|F301|Tympanuchus pallidicinctus|B2|Male|Juvenile|Texas|770|SSOPR|Southern|3/8/08|2008|
|F304|Tympanuchus pallidicinctus|8|Male|Juvenile|Texas|690|SSOPR|Southern|||
|F305|Tympanuchus pallidicinctus|R4|Male|Adult|Texas|900|SSOPR|Southern|||
|F307|Tympanuchus pallidicinctus|R5|Male|Adult|Texas|805|SSOPR|Southern|3/26/08|2008|
|F310|Tympanuchus pallidicinctus|8|Male|Juvenile|Texas|767|SSOPR|Southern|||
|F312|Tympanuchus pallidicinctus|R4|Male|Juvenile|Texas|726|SSOPR|Southern|||
|F315|Tympanuchus pallidicinctus|8|Male|Adult|Texas|806|SSOPR|Southern|||
|F316|Tympanuchus pallidicinctus|B2|Male|Juvenile|Texas|105|SSOPR|Southern|||
|F318|Tympanuchus pallidicinctus|R5|Male|Juvenile|Texas|795|SSOPR|Southern|3/23/08|2008|
|F323|Tympanuchus pallidicinctus|R5|Female|Juvenile|Texas|690|SSOPR|Southern|3/20/08|2008|
|F327|Tympanuchus pallidicinctus|Mcintyre|Male|Adult|Kansas|760|SHGPR|Northern|3/17/20|2020|
|F328|Tympanuchus pallidicinctus|S14-16-23|Male||Kansas|670|SHGPR|Northern|4/9/20|2020|
|F331|Tympanuchus pallidicinctus|S14-16-23|Male|Juvenile|Kansas|780|SHGPR|Northern|4/9/20|2020|
|F337|Tympanuchus pallidicinctus|B2|Male|Adult|Texas||SSOPR|Southern|||
